Line,Product Family,Base Polymer,Base Type,Additional Treatment,Product Group,Color Group,Width Material Attri,Thickness Material A,Uptime,Rate,Yield,Quantity Good,Run Time Hours,Net Quantity Produced,Downtime,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,EBITDA (€),Total Depreciation,EBIT,Product,EBITDA (€) Rank,EBITDA (€) / Hr
K18,Construction,PVC,202/14,ZZZ,Construction,OP,1000,500,0.97,1784.99,0.94,565754.3120000002,337.03555555555545,601604.6120000002,11.685,70207.0,70207.0,193346.82,0.0,193346.82,0.0,-6519.37,0.0,-7304.63,179522.82,2.5570501516942756,0.0,0.0,-2605.1,176917.72,53028.34,0.0,126494.48,987.85,175.61,3411.69,119314.23,10294.54,9449.17,3614.65,3980.23,1121.31,90854.33,2597.66,6050.43,4415.33,77790.91,77790.91,1293.96,76496.95,PVC-202/14-ZZZ-OP-1000-500,30.0,1977.808429941459
K10,Cards Core,PVC,219/08,ZZZ,Cards Core,WH,520,230,0.98,767.21,0.92,191611.076,271.58361111111105,208362.175,6.431388888888888,121199.0,121199.0,424443.01,0.0,424443.01,0.0,0.0,0.0,-78.75,424364.26,3.501384169836385,0.0,0.0,-12208.38,412155.88,178311.91,0.0,246052.35,4995.51,621.92,14192.73,214033.81,31020.78,39282.54,11935.6,16887.93,4274.82,110632.14,4484.37,21158.92,7622.2,77366.65,77366.65,7802.74,69563.91,PVC-219/08-ZZZ-WH-520-230,31.0,489.7438720327725
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Decor,DF,1565,165,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,76249.0,76249.0,258066.51,0.0,258066.51,0.0,0.0,0.0,0.0,258066.51,3.3845232068617284,0.0,0.0,-3586.31,254480.2,101409.72,51273.78,105383.01,0.0,410.62,3887.6,97498.48,5911.76,6628.3,3434.46,3634.3,1630.01,76259.65,0.0,0.0,0.0,76259.65,76259.65,2009.61,74250.04,PVC-225/05-ZZZ-DF-1565-165,32.0,1037.1348405028261
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1825,32,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,457557.3,457557.3,1092313.17,0.0,1092313.17,0.0,0.0,0.0,0.0,1092313.17,2.38727077461118,0.0,0.0,-20953.56,1071359.61,727537.44,0.0,364775.73,0.0,2323.26,39661.64,301837.27,45788.29,36288.72,27419.9,22720.86,9009.51,160609.99,16929.62,39432.32,28775.79,75472.26,75472.26,13652.09,61820.17,PVC-240/15-ZZZ-TL-1825-32,33.0,167.0210507641338
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,WH,1640,100,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,257646.7,257595.94,692807.46,0.0,692807.46,0.0,-24728.43,-135.35,-41560.36,626383.32,2.4316505920085545,0.0,0.0,-14073.02,612310.3,351000.88,0.0,275382.44,0.0,2132.35,17925.01,241252.06,29125.05,29061.96,15532.7,16752.24,7670.31,143109.8,13647.46,37910.39,16200.22,75351.73,75351.73,9308.27,66043.46,PVC-225/05-ZZZ-WH-1640-100,34.0,303.33937131423727
K10,Cards Core,PVC,230/18,ZZZ,Cards Core,OP,300,170,0.84,909.63,0.91,976035.304,1180.2752777777778,1073609.603,231.04749999999999,38275.0,38275.0,225833.5,0.0,225833.5,-315.0,0.0,0.0,0.0,225518.5,5.8920574787720446,0.0,0.0,0.0,225518.5,105916.66,0.0,119601.84,1861.05,157.42,3879.68,113703.69,9680.73,10802.46,3043.33,4790.34,1017.62,84369.21,1416.18,6682.07,2407.12,73863.84,73863.84,2352.86,71510.98,PVC-230/18-ZZZ-OP-300-170,35.0,1755.421679404311
K18,Construction,PVC,202/14,ZZZ,Construction,OP,600,500,0.97,1784.99,0.94,565754.3120000002,337.03555555555545,601604.6120000002,11.685,65976.5,65976.5,183680.63,0.0,183680.63,0.0,-4994.2,0.0,-5561.11,173125.32,2.6240452282252016,0.0,0.0,-6644.21,166481.11,49780.13,0.0,123345.19,1016.56,199.34,3803.05,111682.03,10860.06,10551.12,3940.69,4375.88,1250.44,80703.84,2441.15,5685.83,4149.27,68427.59,68427.59,1378.82,67048.77,PVC-202/14-ZZZ-OP-600-500,36.0,1851.3040836373555
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1440,100,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,240498.9,239245.5,683585.1,0.0,683585.1,0.0,-24278.87,-3503.26,-40804.91,614998.06,2.570573156025924,0.0,0.0,-14273.83,600724.23,343249.5,0.0,271748.56,0.0,2896.86,19197.96,235379.91,36761.86,26432.55,15651.6,18123.93,8854.33,129555.64,12677.56,35216.27,15048.99,66612.82,66612.82,10093.92,56518.9,PVC-225/05-ZZZ-OP-1440-100,37.0,288.72780558798394
K40,Tape,PVC,125/23,ZZZ,Tape,WH,1280,120,0.25,846.63,0.9,30692.0,40.19888888888889,34033.600000000006,122.88083333333334,30692.0,30692.0,135446.8,0.0,135446.8,0.0,-937.48,-945.3,0.0,133564.02,4.351753551414049,0.0,0.0,-3270.73,130293.29,41047.7,0.0,92516.32,0.0,137.31,2610.22,86498.06,4114.64,4553.11,2444.51,2545.1,1177.83,71662.87,1135.61,2645.04,1930.23,65951.99,65951.99,1411.02,64540.97,PVC-125/23-ZZZ-WH-1280-120,38.0,1819.2666914407666
E27,Shrink Sleeve,PET,G10F12,T45,Shrink Sleeve,GC,625,45,0.62,1414.01,0.99,881368.022,626.9319444444445,886486.022,391.60555555555567,150070.0,149807.0,511074.85,0.0,511074.85,0.0,0.0,-1021.38,0.0,510053.47,3.404737228567424,0.0,0.0,-6755.1,503298.37,315197.57,0.0,194855.9,11799.44,2426.24,12481.62,161393.5,26318.23,21035.83,3267.41,6692.49,3624.87,100454.67,7475.36,19542.29,9421.36,64015.66,64015.66,17575.52,46440.14,PETG-G10F12-T45-GC-625-45,39.0,604.2360063054464
